***** Interaction Log File *****
Date and time: 8/31/2018 7:25:51 AM
Condition: Haptics
=============================================
t = 0.7760843, Start Question 1
=============================================
=============================================
t = 2.089934, Start Task 1
=============================================
t = 18.94536, Touch Move Clockwise Zone3, Right, x = 2.633694, y = -1.386155
t = 18.96233, Touch Move Clockwise Zone3, Right, x = 2.59904, y = -1.386155
t = 18.97851, Touch Move Clockwise Zone3, Right, x = 2.495079, y = -1.386155
t = 18.99506, Touch Move Clockwise Zone3, Right, x = 2.425771, y = -1.351501
t = 19.01413, Touch Move Clockwise Zone3, Right, x = 2.321809, y = -1.351501
t = 19.0307, Touch Move Clockwise Zone3, Right, x = 2.252502, y = -1.351501
t = 19.04727, Touch Move Clockwise Zone3, Right, x = 2.217847, y = -1.351501
t = 19.06383, Touch Move Clockwise Zone3, Right, x = 2.14854, y = -1.351501
t = 19.08077, Touch Move Clockwise Zone3, Right, x = 2.113886, y = -1.351501
t = 19.09697, Touch Move Clockwise Zone3, Right, x = 2.044578, y = -1.316847
t = 19.11353, Touch Move Clockwise Zone3, Right, x = 2.009924, y = -1.316847
t = 19.13175, Touch Move Clockwise Zone3, Right, x = 1.940616, y = -1.316847
t = 19.14918, Touch Move Clockwise Zone3, Right, x = 1.871309, y = -1.316847
t = 19.16607, Touch Move Clockwise Zone3, Right, x = 1.836654, y = -1.316847
t = 19.18231, Touch Move Clockwise Zone3, Right, x = 1.732694, y = -1.316847
t = 19.21545, Touch Move Clockwise Zone3, Right, x = 1.663386, y = -1.316847
t = 19.23326, Touch Move Clockwise Zone3, Right, x = 1.594078, y = -1.316847
t = 19.24983, Touch Move Clockwise Zone3, Right, x = 1.559424, y = -1.316847
t = 19.2664, Touch Move Clockwise Zone3, Right, x = 1.52477, y = -1.316847
t = 19.28311, Touch Move Clockwise Zone3, Right, x = 1.490117, y = -1.316847
t = 19.30768, Touch Move Clockwise Zone3, Right, x = 1.455462, y = -1.316847
t = 19.32429, Touch Move Clockwise Zone3, Right, x = 1.386155, y = -1.316847
t = 19.34084, Touch Move Clockwise Zone3, Right, x = 1.386155, y = -1.282193
t = 19.37395, Touch Move Clockwise Zone3, Right, x = 1.351501, y = -1.282193
t = 19.39052, Touch Move Clockwise Zone3, Right, x = 1.316847, y = -1.282193
t = 19.41288, Touch Move Clockwise Zone3, Right, x = 1.247539, y = -1.282193
t = 19.44602, Touch Move Clockwise Zone3, Right, x = 1.212886, y = -1.282193
t = 19.46513, Touch Move Clockwise Zone3, Right, x = 1.178231, y = -1.282193
t = 19.49826, Touch Move Clockwise Zone3, Right, x = 1.143578, y = -1.282193
t = 19.51483, Touch Move Clockwise Zone3, Right, x = 1.108924, y = -1.282193
t = 19.56453, Touch Move Clockwise Zone3, Right, x = 1.074269, y = -1.282193
t = 19.61423, Touch Move Clockwise Zone3, Right, x = 1.039616, y = -1.282193
t = 19.64736, Touch Move Clockwise Zone3, Right, x = 1.039616, y = -1.316847
t = 19.69715, Touch Move Clockwise Zone3, Right, x = 1.039616, y = -1.386155
t = 19.71369, Touch Move Clockwise Zone3, Right, x = 1.004962, y = -1.455462
t = 19.75532, Touch Move Clockwise Zone3, Right, x = 1.004962, y = -1.559424
t = 19.77189, Touch Move End , x = 1.004962, y = -1.767347
t = 21.5899, Show Hint
